Date,Row Type,Campaign ID,Campaign,Campaign Link,Ad Channel,Status,Ad Set ID,Ad Set,Ad Creative ID,Ad Creative,Keyword ID,Display ID,Created at,clicks,ad_network_clicks,tracker_clicks,impressions,"installs (per-day, not summable)",onboards,cr,revenue,Revenue Count,spend,"roas (per-day, not summable)","active_users (per-day, not summable)","cpi (per-day, not summable)",cpa,"click_through_installs (per-day, not summable)","view_through_installs (per-day, not summable)",ONE_TIME_count,ONE_TIME_total
2026-07-31,ad_set,GA_20000000000,Summer_Sale_Android,,,Active,102878888262,Core_Audience_1,,,,AS-102878888262,30 Jun 26,265,265,0,16142,72,24,33.33333333333333,8322,21,3660.1346,2.2737,1052,50.8352,152.5056,72,0,21,8322.00
2026-07-31,ad_set,GA_20000000000,Summer_Sale_Android,,,Active,102798780547,Broad_Match_2,,,,AS-102798780547,30 Jun 26,212,212,0,19072,54,18,33.33333333333333,9147,13,4481.6592,2.041,889,82.9937,248.9811,54,0,14,9467.00
2026-07-31,ad_set,GA_20000000000,Summer_Sale_Android,,,Active,103912191821,Interest_Fitness_3,,,,AS-103912191821,30 Jun 26,91,91,0,4361,21,7,33.33333333333333,2057,3,1441.8829,1.4266,205,68.6611,205.9833,21,0,3,2057.00
2026-07-31,ad_set,GA_20000000000,Summer_Sale_Android,,,Active,101638273053,Lookalike_1pct_4,,,,AS-101638273053,30 Jun 26,39,39,0,1216,19,5,26.31578947368421,2264,6,928.4398,2.4385,246,48.8653,185.688,19,0,6,2264.00
2026-07-31,ad_set,GA_20000000000,Summer_Sale_Android,,,Active,102362922995,Remarketing_30d_5,,,,AS-102362922995,30 Jun 26,27,27,0,537,13,5,38.46153846153847,2156,7,1076.2587,2.0032,184,82.7891,215.2517,13,0,7,2156.00
2026-07-31,ad_set,GA_20000000000,Summer_Sale_Android,,,Active,103320239382,Core_Audience_6,,,,AS-103320239382,30 Jun 26,40,40,0,2807,6,4,66.66666666666666,4872,6,844.0537,5.7721,182,140.6756,211.0134,6,0,6,4872.00
2026-07-31,ad_set,GA_20000007919,Brand_Search_IN,,,Active,100995707193,Broad_Match_7,,,,AS-100995707193,02 Jul 26,483,483,0,29507,52,22,42.30769230769231,12610,19,4336.1024,2.9081,967,83.3866,197.0956,52,0,19,12610.00
2026-07-31,ad_set,GA_20000007919,Brand_Search_IN,,,Active,101568360222,Interest_Fitness_8,,,,AS-101568360222,02 Jul 26,166,166,0,10643,39,11,28.205128205128204,5551,10,2590.1513,2.1431,377,66.4141,235.4683,39,0,10,5551.00
2026-07-31,ad_set,GA_20000007919,Brand_Search_IN,,,Active,101413936435,Lookalike_1pct_9,,,,AS-101413936435,02 Jul 26,60,60,0,1899,11,1,9.090909090909092,153,1,1798.9689,0.085,122,163.5426,1798.9689,11,0,1,153.00
2026-07-31,ad_set,GA_20000015838,Retargeting_Cart_Abandon,,,Active,104188496163,Remarketing_30d_10,,,,AS-104188496163,01 Jul 26,226,226,0,19182,67,7,10.44776119402985,290,1,2119.2781,0.1368,353,31.631,302.754,67,0,1,290.00
2026-07-31,ad_set,GA_20000015838,Retargeting_Cart_Abandon,,,Active,100504058645,Core_Audience_11,,,,AS-100504058645,01 Jul 26,22,22,0,1119,10,6,60,2202,3,662.4052,3.3242,164,66.2405,110.4009,10,0,3,2202.00
2026-07-31,ad_set,GA_20000015838,Retargeting_Cart_Abandon,,,Active,100859804960,Broad_Match_12,,,,AS-100859804960,01 Jul 26,29,29,0,1235,4,0,0,305,1,299.2592,1.0192,178,74.8148,0,4,0,1,305.00
2026-07-31,ad_creative,lr7b74,App_Install_Prospecting,,,Active,103524063818,Interest_Fitness_13,101898212480,Static_Product_Blue_1,,CR-101898212480,18 Jul 26,462,462,,32341,15,1,6.666666666666667,1201,1,993.96,1.2083,18,66.264,993.96,15,0,1,1201.00
2026-07-31,ad_creative,lr7b74,App_Install_Prospecting,,,Active,103524063818,Interest_Fitness_13,102714596206,Video_15s_Testimonial_2,,CR-102714596206,18 Jul 26,234,234,,16056,14,3,21.428571428571427,376,1,703.73,0.5343,102,50.2664,234.5767,14,0,1,376.00
2026-07-31,ad_creative,lr7b74,App_Install_Prospecting,,,Active,103524063818,Interest_Fitness_13,102241435255,Carousel_Bestsellers_3,,CR-102241435255,18 Jul 26,850,850,,28731,2,1,50,,,856.87,0,5,428.435,856.87,2,0,,
2026-07-31,ad_creative,lr7b74,App_Install_Prospecting,,,Active,103524063818,Interest_Fitness_13,101680980445,Static_Offer_50Off_4,,CR-101680980445,18 Jul 26,0,,,,1,1,100,905,3,,0,113,0,0,1,0,3,905.00
2026-07-31,ad_creative,lr7b74,App_Install_Prospecting,,,Active,102530302731,Lookalike_1pct_14,101931744109,Static_Product_Blue_5,,CR-101931744109,18 Jul 26,475,475,,33986,12,,0,,,1313.13,0,16,109.4275,0,12,0,,
2026-07-31,ad_creative,lr7b74,App_Install_Prospecting,,,Active,102530302731,Lookalike_1pct_14,100003788625,Video_15s_Testimonial_6,,CR-100003788625,18 Jul 26,132,132,,14133,4,1,25,727,2,679.57,1.0698,174,169.8925,679.57,4,0,2,727.00
2026-07-31,ad_creative,lr7b74,App_Install_Prospecting,,,Active,102530302731,Lookalike_1pct_14,103021873761,Carousel_Bestsellers_7,,CR-103021873761,18 Jul 26,492,492,,27521,1,,0,,,661.62,0,2,661.62,0,1,0,,
2026-07-31,ad_creative,lr7b74,App_Install_Prospecting,,,Active,104081165959,Remarketing_30d_15,100959962537,Static_Offer_50Off_8,,CR-100959962537,18 Jul 26,1035,1035,,71234,1,,0,,,1474.3,0,75,1474.3,0,1,0,,
2026-07-31,ad_creative,lr7b74,App_Install_Prospecting,,,Active,100597891695,Core_Audience_16,100941454889,Static_Product_Blue_9,,CR-100941454889,18 Jul 26,1968,1967,1,85463,1,1,100,,,1642.92,0,64,1642.92,1642.92,1,0,,
2026-07-31,ad_creative,lr7b74,App_Install_Prospecting,,,Active,100560587674,Broad_Match_17,101565393501,Video_15s_Testimonial_10,,CR-101565393501,18 Jul 26,4567,4567,,169177,0,,0,,,2178.7,0,21,0,0,0,0,,
2026-07-31,ad_creative,lr7b74,App_Install_Prospecting,,,Active,101535868997,Interest_Fitness_18,103421462254,Carousel_Bestsellers_11,,CR-103421462254,18 Jul 26,4119,4119,,243880,0,,0,,,2970.36,0,21,0,0,0,0,,
2026-07-31,ad_set,GA_20000031676,Festive_Push_iOS,,,Active,103291276467,Lookalike_1pct_19,,,,AS-103291276467,01 Jul 26,218,218,0,12534,24,6,25,2925,5,1021.292,2.864,290,42.5538,170.2153,24,0,5,2925.00
2026-07-31,ad_set,GA_20000031676,Festive_Push_iOS,,,Active,100622134698,Remarketing_30d_20,,,,AS-100622134698,01 Jul 26,45,45,0,4049,16,4,25,1762,5,661.4832,2.6637,207,41.3427,165.3708,16,0,5,1762.00
2026-07-31,ad_set,GA_20000031676,Festive_Push_iOS,,,Active,102773452735,Core_Audience_21,,,,AS-102773452735,01 Jul 26,55,55,0,4007,7,3,42.857142857142854,775,1,1450.7085,0.5342,114,207.2441,483.5695,7,0,1,775.00
2026-07-31,campaign,lr438e,Lookalike_Purchasers,,,Active,,,,,,lr438e,27 May 26,58,0,58,0,33,15,45.45454545454545,16837,21,0,0,904,0,0,33,0,21,16837.00
2026-07-31,ad_set,GA_20000047514,Video_Views_Broad,,,Active,103399173347,Interest_Fitness_8,,,,AS-103399173347,02 Jul 26,69,69,0,2699,11,5,45.45454545454545,2483,3,393.2017,6.3148,76,35.7456,78.6403,11,0,3,2483.00
2026-07-31,ad_set,GA_20000047514,Video_Views_Broad,,,Active,100709080078,Broad_Match_7,,,,AS-100709080078,02 Jul 26,59,59,0,3512,7,3,42.857142857142854,2008,3,2514.3422,0.7986,243,359.1917,838.1141,7,0,3,2008.00
