Date,Row Type,Campaign ID,Campaign,Campaign Link,Ad Channel,Status,Ad Set ID,Ad Set,Ad Creative ID,Ad Creative,Keyword ID,Display ID,Created at,clicks,ad_network_clicks,tracker_clicks,impressions,"installs (per-day, not summable)",onboards,cr,revenue,Revenue Count,spend,"roas (per-day, not summable)","active_users (per-day, not summable)","cpi (per-day, not summable)",cpa,"click_through_installs (per-day, not summable)","view_through_installs (per-day, not summable)",ONE_TIME_count,ONE_TIME_total
2026-07-31,campaign,GA_20000000000,Summer_Sale_Android,,,Active,,,,,,GA_20000000000,30 Jun 26,674,674,0,44135,185,1943,34.054054054054056,28818,56,12432.4289,2.318,2758,67.2023,197.3401,185,0,57,29138.00
2026-07-31,campaign,GA_20000007919,Brand_Search_IN,,,Active,,,,,,GA_20000007919,02 Jul 26,709,709,0,42049,102,912,33.33333333333333,18314,30,8725.2226,2.099,1466,85.5414,256.6242,102,0,30,18314.00
2026-07-31,campaign,GA_20000015838,Retargeting_Cart_Abandon,,,Active,,,,,,GA_20000015838,01 Jul 26,277,277,0,21536,81,402,16.049382716049383,2797,5,3080.9425,0.9078,695,38.0363,236.9956,81,0,5,2797.00
2026-07-31,campaign,lr7b74,App_Install_Prospecting,,,Active,,,,,,lr7b74,18 Jul 26,14334,14333,1,722522,51,114,15.686274509803921,3209,7,13475.16,0.2381,611,264.2188,1684.395,51,0,7,3209.00
2026-07-31,campaign,GA_20000031676,Festive_Push_iOS,,,Active,,,,,,GA_20000031676,01 Jul 26,318,318,0,20590,47,419,27.659574468085108,5462,11,3133.4837,1.7431,611,66.6699,241.0372,47,0,11,5462.00
2026-07-31,campaign,lr438e,Lookalike_Purchasers,,,Active,,,,,,lr438e,27 May 26,58,0,58,0,33,699,45.45454545454545,16837,21,0,0,904,0,0,33,0,21,16837.00
2026-07-31,campaign,GA_20000047514,Video_Views_Broad,,,Active,,,,,,GA_20000047514,02 Jul 26,135,135,0,6604,19,213,42.10526315789473,4491,6,3040.1338,1.4772,370,160.007,380.0167,19,0,6,4491.00
2026-07-31,campaign,lre5e1,Search_Generic_Terms,,,Active,,,,,,lre5e1,27 May 26,27,0,27,0,13,347,53.84615384615385,6956,7,0,0,460,0,0,13,0,7,6956.00
2026-07-31,campaign,MFB_20000063352,Summer_Sale_Android,,,Active,,,,,,MFB_20000063352,04 Jun 26,788,788,0,87278,11,104,18.181818181818183,0,0,5289.18,0,64,480.8345,2644.59,11,0,,
2026-07-31,campaign,lrdd5f,Brand_Search_IN,,,Active,,,,,,lrdd5f,17 Jul 26,38,0,38,0,6,25,0,0,0,0,0,124,0,0,6,0,,
2026-07-31,campaign,MFB_20000079190,Retargeting_Cart_Abandon,,,Active,,,,,,MFB_20000079190,04 Jun 26,518,518,0,80516,6,76,16.666666666666664,0,0,4817.21,0,48,802.8683,4817.21,6,0,,
2026-07-31,campaign,GA_20000087109,App_Install_Prospecting,,,Active,,,,,,GA_20000087109,10 May 26,716,716,0,38336,5,124,100,5295,10,5468.475,0.9683,79,1093.695,1093.695,4,1,10,5295.00
2026-07-31,campaign,lr5625,Festive_Push_iOS,,,Active,,,,,,lr5625,18 Jul 26,81,81,0,6742,4,3,25,1520,4,1690.13,0.8993,33,422.5325,1690.13,4,0,4,1520.00
2026-07-31,campaign,MFB_20000102947,Lookalike_Purchasers,,,Active,,,,,,MFB_20000102947,21 Jul 26,0,0,0,0,4,16,25,0,0,0,0,30,0,0,4,0,,
2026-07-31,campaign,GA_20000110866,Video_Views_Broad,,,Active,,,,,,GA_20000110866,12 May 26,364,364,0,17234,4,36,50,536,2,1686.7489,0.3178,37,421.6872,843.3745,4,0,2,536.00
2026-07-31,campaign,lr4d20,Search_Generic_Terms,,,Active,,,,,,lr4d20,25 May 26,0,0,0,0,3,68,66.66666666666666,2859,3,0,0,261,0,0,3,0,3,2859.00
2026-07-31,campaign,GA_20000126704,Summer_Sale_Android,,,Active,,,,,,GA_20000126704,15 May 26,415,415,0,26006,3,58,66.66666666666666,4649,7,4055.8386,1.1462,30,1351.9462,2027.9193,3,0,7,4649.00
2026-07-31,campaign,GA_20000134623,Brand_Search_IN,,,Active,,,,,,GA_20000134623,10 May 26,348,348,0,19720,3,66,66.66666666666666,2600,3,3027.3792,0.8588,42,1009.1264,1513.6896,3,0,3,2600.00
2026-07-31,campaign,GA_20000142542,Retargeting_Cart_Abandon,,,Active,,,,,,GA_20000142542,12 May 26,159,151,8,10595,2,80,150,1796,3,1233.59,1.4559,75,616.795,411.1967,1,1,3,1796.00
